term,name,organization,url
AGROVOC,AGROVOC Multilingual Thesaurus,Food and Agriculture Organization of the United Nations,https://agrovoc.fao.org/browse/agrovoc/en/page/c_7436
NWS,National Weather Service Glossary,National Oceanic and Atmospheric Administration,https://w1.weather.gov/glossary/
FEMA,FEMA Interactive Glossary,Federal Emergency Management Agency,https://www.fema.gov/about/glossary
USGS,USGS Thesaurus,United States Geological Survey,https://apps.usgs.gov/thesaurus/
GCMD,NASA Global Change Master Directory,National Aeronautics and Space Administration,https://gcmd.earthdata.nasa.gov/KeywordViewer/scheme/all?gtm_scheme=all
LCSH,LoC Subject Headings,Library of Congress,https://id.loc.gov/authorities/subjects.html
GEMET,General Multilingual Environmental Thesaurus,European Environment Agency ,https://www.eionet.europa.eu/gemet/en/themes/
CUASHI-HIS,CUASHO Hydrologic Information System,"The Consortium of Universities for the Advancement of Hydrologic Science, Inc.",https://his.cuahsi.org/mastercvreg.html
NOAA-DMAC, NOAA Data Management and Cyberinfrastructure,Data Management and Cyberinfrastructure,https://github.com/ioos/vocabularies
Other,,,
